asset_id,condition_id,outcome,question,end_date,active,taker_fee_bps
52575345678960270595930960155439616256970152728812127920478503352238884196576,0x8151ffbdd5fb1aa023d89a87e0bcb1c3f937cbc4c4809dcc149ef314d4dfb67e,NO,Brazil vs. Haiti: Brazil O/U 7.5 Corners,2026-06-20,0,10000000
38057390173149338392292655523451506339648822129496112945282266170541053057618,0x151504a17e619414dc09650f6cfeab2bfb63964edd8928a828dadabea3d02d49,YES,Brazil vs. Haiti: Brazil O/U 3.5,2026-06-20,0,10000000
9692538152079074497173309341400715275626702349332002423845497003570299605168,0xf01a2eef10431aff7fbbf46269948e33eb7206a6e4a1af53a2450d73ccecb244,YES,United States vs. Australia: Australia O/U 2.5 Corners,2026-06-19,0,10000000
6430722578900247553348127085968040159813398547728491533245537903345779450454,0x1b9e1752b41567a10622cf4dfcfb65c8c10f6b2d792d456bc3ad8cbc7ca38cb9,NO,United States vs. Australia: United States 1st Half O/U 1.5,2026-06-19,0,10000000
106951576588360348588686195061457967884230923928941515293642136370613947993812,0x3ab481227c9cb3f23e3f489ba1ed231a3feb464df8d39900b6f9994e167cad92,NO,United States vs. Australia: Second half draw?,2026-06-19,0,10000000
81505101221608310871649786278663682156811403649641264804338752840406453988664,0x30c97652787798c0a64e7659303501e834a5a0ca0d55f811f8f003646f21cf69,YES,Scotland vs. Morocco: 1st Half O/U 0.5,2026-06-19,0,10000000
38521868925849409947216404619557532425091454353781607601468120827401901866053,0xffa05800960fb8b1532c0f3f99f51b4996c9b447b0b195635e644e071e4b63e7,NO,Will United States vs. Australia end in a draw?,2026-06-19,0,10000000
109269497217299502116676395480596041754607662236964061073622120751625474742107,0x577cffeb67b4b292a9f8e29b967e5de1c409333fabb752cf5057768c5e900422,YES,Will Scotland vs. Morocco end in a draw?,2026-06-19,0,10000000
106642360611489118738670656730344649274927291531163507779536245831225449527034,0xbc2caa56ce87821dfaff13470465afbf442c79f641726585722841eac93eb5a6,NO,United States vs. Australia: United States O/U 1.5,2026-06-19,0,10000000
64090226798465062779119967446010560660304549123640475097185855012019693501788,0x9ba41cafec0ffa64afc703348ff66303c1576c1a4d9691d7583bc1e31dd30db8,YES,United States vs. Australia: O/U 8.5 Total Corners,2026-06-19,0,10000000
35427343665799757131079020681994574805893739720444343451503720333027675056719,0x42e73496ac316c6dae9d979fdfd61dddf1b8c51c69425f486945d2dddf25fde4,NO,Brazil vs. Haiti: O/U 9.5 Total Corners,2026-06-20,0,10000000
4597318314723439924377650960872470079426445949373680613766388384354494832005,0x653930b7fc6f8f670a769980f4d58001165e44c9e168557d3ec6b124b4bb6b85,NO,United States vs. Australia: O/U 0.5,2026-06-19,0,10000000
23346414362175122583498474494149410227230872110852550305198301508280313811397,0x4fca867b79f787947c20ad7aa6b25446b429c0d6bbbf03cd247cc45337045ba2,YES,Türkiye vs. Paraguay: O/U 9.5 Total Corners,2026-06-20,1,10000000
67582265409937972286373348605510828320133788134659679640918303476692494745356,0x9a369ceb2f78db29486fa7cce4f96b5c7f15e886cba93883620e3de246f10876,YES,United States vs. Australia: 1st Half O/U 2.5,2026-06-19,0,10000000
77363234901771020342767042816752617402577330678299574004250775994943012495897,0xde6e62a4401b974578ab06dc80380ff7a53b6fd621cef2c86b136698b828327e,NO,Scotland vs. Morocco: Scotland 1st Half O/U 0.5,2026-06-19,0,10000000
115458808227101348457366522625791466875686590629334205013486925244388370577477,0xdc112ac375b3af1ee7c9c1d8d9a160cdbaff2c24ad865a4837c340d8d36fa441,YES,Brazil vs. Haiti: Draw at halftime?,2026-06-20,0,10000000
50326130189043751558209405889826663831275080181406656839730973729994229360847,0xe82c35bb8aa04a7d77a9293b3ce06da1fc400ceb4faed6aa1afd728e2a503648,YES,United States vs. Australia: O/U 6.5 Total Corners,2026-06-19,0,10000000
75437378508494311608290437557981529584920780761434718709001138356143715994842,0xcd5ffcde42d1d0be8698a69854cad0b67a59e24eaf972ba7889ecfb028805983,YES,Brazil vs. Haiti: 1st Half O/U 0.5,2026-06-20,0,10000000
70200360850375306007076594688226825761834555802827083689727479898901171000231,0x595a4d34ce3802e9cf5baf5eded84d2320b05b90cd70ee500ab0d1f9947b0dcb,NO,Scotland vs. Morocco: O/U 8.5,2026-06-19,0,10000000
97015659481237172938926726191796503790667236466094603773497182785549503004906,0x93a234f052fb6d73c1f1b2e3c2574c36f20d51037c6ac8555cc36075510d6ca7,YES,Türkiye vs. Paraguay: O/U 10.5 Total Corners,2026-06-20,1,10000000
78256873046032676918555827858971218168297203112303852982554350887752354347281,0xe8da2552ac8ebe5812713ba1e195ffb17a1c372b6e529e831cc6db24f315cb4d,NO,Scotland vs. Morocco: Scotland O/U 3.5 Corners,2026-06-19,0,10000000
51300982085675689879140399181573214360652946780434454512638305723633640476587,0x847437c87f50c88bd3b7501afb272b5d8df1e1eb6783fbbcfcf697275ac6e50b,NO,United States vs. Australia: 1st Half O/U 4.5 Total Corners,2026-06-19,0,10000000
79934818290853410636743165815111175687893366065914387169930354633528936744843,0xe505bb7b772d8cd4027d3b5fbcb627e9d8034f009726e975075cb99d2f8c1613,NO,Brazil vs. Haiti: Brazil 1st Half O/U 0.5,2026-06-20,0,10000000
14729379386817258537354006783786102068178286988322042272817558435233867171838,0xffa05800960fb8b1532c0f3f99f51b4996c9b447b0b195635e644e071e4b63e7,YES,Will United States vs. Australia end in a draw?,2026-06-19,0,10000000
54511825390633995374175059606221780469743756932404872461241366577064924822137,0x7b830121eb0c58c5f4161ecd626af187d199ba1ed7a705a696ebf93e84a1423f,YES,Brazil vs. Haiti: O/U 3.5,2026-06-20,0,10000000
